Studento vardas   Pavarde              ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9  ND10  ND11  ND12  ND13  ND14  ND15   Egzamino rez
Vardas31          Pavarde31              9     9     6     2    10     3     2     9     1     3     7    10    10     4     6              5
Vardas32          Pavarde32              5     2     9     5     2     7     3     2     6    10     2     2    10     9     5             10
Vardas33          Pavarde33             10    10     5     8     4     4     9     1     8     3    10     2     6     9    10              9
Vardas34          Pavarde34              4     5    10     2     8     3     9    10     7     7    10     4     7     5     3             10
Vardas35          Pavarde35              8     7     3     5     3     8     6     5     1     2     5     1     5    10     9              5
Vardas36          Pavarde36              2     6     6    10     8     6     8     5     8     1     1     4     4     3     9              7
Vardas37          Pavarde37              7     7     4     9     3     7     5     2     4     9     6     5     8     7     6              2
Vardas38          Pavarde38              1     7     4     4     7     5    10     7     6     4     3     2     6     7     4              7
Vardas39          Pavarde39              5     8     2     9     7     4     7     8     8     4     2     6     3     2     5              8
Vardas40          Pavarde40              7     3     9     7     4     9     9     6     9     8     9     5     8     1     9              2
Vardas41          Pavarde41              5     8     2     8     8     8     7     8     8     9     3     1    10    10     8              4
Vardas42          Pavarde42              6     5     9     4     3     2     5     5     2     5     8     3     6     8     1              6
Vardas43          Pavarde43              6     5     3     4     2     3     5     5    10     8     9     3     3     3     1              4
Vardas44          Pavarde44              6     4     9     7    10    10    10     6     2     9     7     3     5     8     3              3
Vardas45          Pavarde45             10     7     5     3    10     3     9     6     1     5     7     2     3     2     7              8
Vardas46          Pavarde46              3     3     9     7     2     1    10     9     3     6     1     1     8     8     8              8
Vardas47          Pavarde47             10     3    10     5     3     3     2     2     6     9     8     4     2     2     2              3
Vardas48          Pavarde48              2     2     3     3     2     1     8    10     1     4     9     2     9     7     3              7
Vardas49          Pavarde49              5     3     6     2     5     8     9     8     7     5     3     8     8     7     6              8
Vardas50          Pavarde50             10     6    10     8     3     7     3    10     4     2    10     1     3     9    10              9
Vardas51          Pavarde51              3     4     3     9     9    10     5     1     1     7     2     8     4     5    10              9
Vardas52          Pavarde52              8     3     8     7     1     3     6     8     1     2     7     2     8     6     7              9
Vardas53          Pavarde53              7     1    10     4    10     8    10     5     3     4     3     1     1    10     5              4
Vardas54          Pavarde54             10     5     7     9     7     1     5     5     4     3     7     4     3     1    10              3
Vardas55          Pavarde55              1     6     2     8     4     6     2     5     3    10     2    10     3     8     1              6
Vardas56          Pavarde56              5     4     2     1     4     6    10    10     3     2     8     1    10     5     2              7
Vardas57          Pavarde57              6     1     9     7     5     2     5     3     3     7     5    10     6     4     2              3
Vardas58          Pavarde58              9     2     5     8     6     4     2     1     5     3    10     2     8     2    10              5
Vardas59          Pavarde59              1     2     1     3     8     6     5     3    10     3    10     4     3     7     3              4
Vardas60          Pavarde60              7     7     4     5     9     9     6     4    10     2     3     9     4     3     2              7
Vardas61          Pavarde61             10     3     9     9     8     2     4     6     1     8     1     3     2     5     2              3
Vardas62          Pavarde62              4     5     8     8     8     1     1     4     7     8     2     9    10     8     4              8
Vardas63          Pavarde63              2     6     9     6     6     2     2     3     9     7     8     6     3     1     5              4
Vardas64          Pavarde64              8     2     9     6     4     3    10     9     1     2     4     1     3     3     4              9
Vardas65          Pavarde65              3     5     1     2     6    10     2     4     6     4     7     5     2     7     1              2
Vardas66          Pavarde66             10     2     4     6     6     5    10    10     2     6     3    10     4     4     7              8
Vardas67          Pavarde67              6     5     8     7     9    10     1     5     8     8     7     7    10     5     8              4
Vardas68          Pavarde68              2     4     5     3    10     3     8     2     3     1     5     1    10     7     4              6
Vardas69          Pavarde69              8     4     4    10     8     5     5     5     9     8     7     3    10     3    10              2
Vardas70          Pavarde70              3     2     4     2     2     6     9     6     1     3     6     1     7     4     2              9
Vardas71          Pavarde71              5    10    10     5     9     9     4     2     5     4     2     4     2     7    10              8
Vardas72          Pavarde72             10     8    10     8     2     6     2     5     5     8     1     3     7     3     6              7
Vardas73          Pavarde73             10     5     4     3     1     8     9     9     4     6     4     3     2     8     4              7
Vardas74          Pavarde74              5     2     9     4     2     7     5     9     7     4     8     3     5     6     1              6
Vardas75          Pavarde75              4     9     6     7     8    10     6     3     8     2     2     9     6     2     1              5
Vardas76          Pavarde76              5    10     4     4     2     7     2     5     7     1     1     8     2     8     2             10
Vardas77          Pavarde77              4     6     3    10     9     3     5     7     9     2     4     1     6     6     3              7
Vardas78          Pavarde78              7     1     7     7     6    10     5     3     8     7     3     3     2     3     8              2
Vardas79          Pavarde79             10     2     9     7     7     9     9     6     9     9    10     7     3     9     6              6
Vardas80          Pavarde80              1     6     2     5     4     9     1    10     7     9     4     5     6     8     2             10
Vardas81          Pavarde81              2     4     8     9    10     8     4     9     9     7     1     6     4     1     9              7
Vardas82          Pavarde82             10     9     6     5     4     9     8     4     7     9     7     7     9     4    10              3
Vardas83          Pavarde83              7    10     5     9    10     7     2     9     2     5     7     2     7     4     6              1
Vardas84          Pavarde84              2     1     1     9     1     8     4    10     4    10     7     4     5     6     4              4
Vardas85          Pavarde85              2     7     7     9     2     8     6     6     7     7    10    10     2     8     5              1
Vardas86          Pavarde86              4    10     3     2     4     5    10     3     6     5     7     7     1     9     6              1
Vardas87          Pavarde87              5     2     3     4    10     1     4     9     2     6    10     8     6     3     7              4
Vardas88          Pavarde88              7     2     1     3     8     8     5     5     5     8     1     8     2     5     5              8
Vardas89          Pavarde89              3     1     3     8     8    10     7     5     9     4     6     7     6    10     6             10
Vardas90          Pavarde90              9     7     3     6     5     1     1     8     3     1     9     6    10     9     2              3
Vardas91          Pavarde91              1     6     7     5     6     9     3     3     5     3     3     8    10     1     8             10
Vardas92          Pavarde92              5     3     9     6     5     6     4     9    10     5     9     2     2     6     9              2
Vardas93          Pavarde93              5     6     1     2     5     6     4    10     1     2     1     7     1     3     8              9
Vardas94          Pavarde94              8     4     8     5     9     9     7     4     4     5     6     5     1     6    10              2
Vardas95          Pavarde95             10     2     3     8     1     9     9     9     2     7     4     1     6     8     7              4
Vardas96          Pavarde96              6     4    10     1    10     2     2     6     7     5     5     2     7     4     3             10
Vardas97          Pavarde97              9     4    10     7     3     8     4     7     7     5     4     8     2     9     9              2
Vardas98          Pavarde98              7     6     4     1     3     2     9     2     7     2     7     8     2     6     5              2
Vardas99          Pavarde99              8     1    10     9     8     3     3     5     6     2    10     3     9    10     4              6
Vardas100         Pavarde100             3     4     6     9     3     9     8     3     7     2     4     4     3     2     5              9
Vardas101         Pavarde101             9     5     1     1     5     9     3     9     9     7     4     8     5     5     7              9
Vardas102         Pavarde102            10     2     8     3     4     8     2     2     4     9     5     9     5     7     8              7
Vardas103         Pavarde103             5     2     3     5     2     6     1     8     9     2    10     4     1     5     2              5
Vardas104         Pavarde104             8     6     9     7     6     4     4     8     7     1     2    10     3     3     7              8
Vardas105         Pavarde105             1     6     1     2     3     6     5     4     5     7     7     4     2     4     9              5
Vardas106         Pavarde106             9     8     5     2     8     7     4     4     4     2     9     1     5     1     7              4
Vardas107         Pavarde107             6     3     9     9    10     1     3     7     5     6     8     8     9     5     6              1
Vardas108         Pavarde108             7    10     2    10     7     5     8     9     5     6     3     1     1     9     1              3
Vardas109         Pavarde109             1     3     3     1     5     3     1     4    10     7     9     2     4     8     4              3
Vardas110         Pavarde110            10     8     9     6     7     6     8     3     1     9    10     3     9     6     2              6
Vardas111         Pavarde111            10     6     2     1     6    10     1     6    10     3     2     5     7     2     9              8
Vardas112         Pavarde112            10     7     9     6     6     8     3     7     9     9     2     8     9     4     5              1
Vardas113         Pavarde113             9     4     7     2     5    10     6     7    10     2     6     7     2     5     5              7
Vardas114         Pavarde114             9     2     4     3     1    10     2     6     5     5     9     3     9     7     8              7
Vardas115         Pavarde115             9     8     2     5     2    10     9     6     7     7     1     3     7     9     9              6
Vardas116         Pavarde116             1     7    10     4     6     6     7     9    10     7     6     9     7     9     3              7
Vardas117         Pavarde117             1     6     1    10     5     8     6     5     5     8     9     8     2     9     4              9
Vardas118         Pavarde118             1     9     7     8     5     9     4     7     9     6     8     1     9     8     6              1
Vardas119         Pavarde119             3     2     1     8     1     2     1     1     1     8    10     5     5     4     6              3
Vardas120         Pavarde120             4    10     1     8     4     3     5     7     7     9     5     7     3     1     4              1
Vardas121         Pavarde121             2     4     8     5     5    10     8     6     6     3     3     9    10     8     3              2
Vardas122         Pavarde122             1     6     3     5     4     7     6     6    10    10     5    10     1     7     4              3
Vardas123         Pavarde123             9     4    10     3     6     8     2     3     9     5     5     3     7     6    10              1
Vardas124         Pavarde124             4     9    10     8    10     7    10     4     6     5     7     8     5     6    10              7
Vardas125         Pavarde125             6    10     3     6     4     4    10     3     4     7     4     8     1     6     5              8
Vardas126         Pavarde126             5    10     6     7     4     5     6     6     4     3     3     3     3     5     2              8
Vardas127         Pavarde127             4     6    10    10     5     6     6     5     5     5     4     3     5     7     4              1
Vardas128         Pavarde128             7     5     5     1     9     2    10     4     7     6     1     6     4     6     4              5
Vardas129         Pavarde129             8     5     6    10     8     2     6     2     7    10     7     2    10     7     4              5
Vardas130         Pavarde130             9     3     2     3     2    10     6     8    10     1    10     4     1     5     5              8
Vardas131         Pavarde131             2     5     3     1     4     6     8    10     3     4     6    10     4     8     3              1
Vardas132         Pavarde132             5     8     5     2     3    10     9     3     9     4     4     3     4     6     2              8
Vardas133         Pavarde133             2     2     3     4     3     9     7     6     5     2     5     7     1     6     9              1
Vardas134         Pavarde134            10     1     4     3     3     7     9    10     1    10     1     1    10     3     6              1
Vardas135         Pavarde135             3     3     2     5     6     5     9    10     6    10     6     7     2     6     9              7
Vardas136         Pavarde136             5     6     2     1     6     9     2     3    10     5     4     5     2     4    10              7
Vardas137         Pavarde137            10     2     9     1     6    10     4     4     9     4     2    10     2     8     5             10
Vardas138         Pavarde138            10     3     3     5     3     4     7     6     3     7     3     5     8     4     9             10
Vardas139         Pavarde139             4     9     3     5     7     2     7     5     2     2    10     8     6     2    10              6
Vardas140         Pavarde140             2     4     1     3     3     4     8     8     1     4    10     4     1     1     8              4
Vardas141         Pavarde141            10     8     6     6     6     1     9     6    10     6     2     6     6     3    10              8
Vardas142         Pavarde142             8     5     5     2     8     9     4     7     4     9     8     3     1     6     6              8
Vardas143         Pavarde143            10     2     4     1     8     7     2     2    10     7     6     7     6     9     1              9
Vardas144         Pavarde144             8     1     4     6     5     7     7    10     7     4    10     1     1     2     4              2
Vardas145         Pavarde145             4     1     1     9     1    10     4     2     4     7     3     4    10     2     2              6
Vardas146         Pavarde146             7     8     5     1     5     8     1     5     8    10     6     9     8     9     4              9
Vardas147         Pavarde147             7     2     2     5     4     7     4    10     9     1     1     7     6    10     5              8
Vardas148         Pavarde148             8    10     3     8     6     7     7     6    10     8     2     4     2     7     2              2
Vardas149         Pavarde149             6     3     3     7     6    10     8     2     5     9     6     9    10     1    10              6
Vardas150         Pavarde150             3     8     9     4     6     2     7     9     4    10     9     5     2     7     2              1
Vardas151         Pavarde151             5     7    10     8     9     9     2     3     1     4     2     5    10     5     6              1
Vardas152         Pavarde152             2     6     2     5    10     3     5     8     6     9     5     8     5    10     3              6
Vardas153         Pavarde153             3     9     8     9     5     9     8     7    10    10     6     8     6     2     7              5
Vardas154         Pavarde154             2     8     9     5     1     4     4     4     5     4     8     8     9     6     8              4
Vardas155         Pavarde155             7     9     9     9     7     6     3     3     6     5     7     3     8     7     3              1
Vardas156         Pavarde156             8     6     1     5    10     5     6    10     8     4     8     7     5     4     7              6
Vardas157         Pavarde157             7     5     2     5    10     6    10     6     2     4     9     7     9     2     5             10
Vardas158         Pavarde158             1     1     4     3     4     6     7     8     1     6     2     5     1     8     2              8
Vardas159         Pavarde159             4     6     9    10     9     3    10     4     2     7     2     5     4     7     4              9
Vardas160         Pavarde160             5     7     4     4     1     7     2     5     7     4     6     7     2     4     5              2
Vardas161         Pavarde161             1     2     6     1     1     2     2     9     7     5    10     5     2     4     6              1
Vardas162         Pavarde162             5     8     7     8     1    10     8     3     5     5     4     2     7     6     9              9
Vardas163         Pavarde163             8     8     4     1     6     9     7     6     8     2     4     6     3     7     1              3
Vardas164         Pavarde164             8     3     4     1     1     2     1     8     1     7     8     6     6    10     7              1
Vardas165         Pavarde165             3     2     5     7     6     5    10     7    10     9     9     5     1     2     3              6
Vardas166         Pavarde166             8     6     4     8    10     7     9     9     3     8     2     1     2     6     2              1
Vardas167         Pavarde167             1     5     4     5    10     4     6     3     9     6     8     1     3     9     4              6
Vardas168         Pavarde168             8     1     3     2    10     4     8     1    10     2     5     4     8     8     7             10
Vardas169         Pavarde169             5     5     5     2     7     1     8     7     5     5     6     7    10    10     8              2
Vardas170         Pavarde170             6     4     7     7     4     4     8     2     5     9     8     7     4     2     7              1
Vardas171         Pavarde171             6     6     8     5     5     9     8     7     4     6     4    10     1     3     9              6
Vardas172         Pavarde172             1     3     4     5     9     3    10     3     9     7     4     3    10     7     5              3
Vardas173         Pavarde173             3     8     4     3     3     7     6     3     8     1     3     3     6     5     3             10
Vardas174         Pavarde174             5    10     9     7     9     7     9     6     3     8     5     8     6     5     4              8
Vardas175         Pavarde175             2     2     3     5     4     6     9     3     7     1     8     2     7     2     2              9
Vardas176         Pavarde176             7     1    10     5     1     9     9     9     3     2     1     2    10     3     9              1
Vardas177         Pavarde177             7     6     3    10    10    10     9     3     4     8     2     6     2     8     2              4
Vardas178         Pavarde178            10     5     5     8     2     5     2     1     7     8     9     5     8    10     8              2
Vardas179         Pavarde179             3     7     5     1     6    10    10    10     2     9     9     7     7     9     8             10
Vardas180         Pavarde180            10     8     1     3     8    10     5    10     4     4     7     9     2     9     5              7
Vardas181         Pavarde181             7    10     8     8     4     2     3     8     6     6     3     7     4     5     3              4
Vardas182         Pavarde182             8     2     9     9    10     4     8    10     9     5     5     1     4     5     2              1
Vardas183         Pavarde183             9     9     8     2     5     3     9     2    10     4     7     3     9     5     7              2
Vardas184         Pavarde184             5     9     3     3     6     8     9     7     6     6    10     8     6     8    10              1
Vardas185         Pavarde185             4     2     1    10    10     3     6     6     2     7     5     6     8     8     4              8
Vardas186         Pavarde186             4     3     7     1     7    10     9    10     8     8    10     6     5     5     2              8
Vardas187         Pavarde187             5     1     1     3     1     1     7     2     1     9     9     1     1    10     1              6
Vardas188         Pavarde188             3    10     6     4     6     8     7     5     4     2     6    10     8     9     6              7
Vardas189         Pavarde189             4     4    10     2     9     9     7     9     4     1     6     7     9     4     2              5
Vardas190         Pavarde190             4     6     4    10     9     4     8     9     8     4     8     8     2     4     8             10
Vardas191         Pavarde191             8     6     1     8     9     8     1     2     4     7     4     8     1     6     9              2
Vardas192         Pavarde192             6     9     7    10     5     8     7     6     1     5     6     2     3     1     6              5
Vardas193         Pavarde193             8     8     1     4     9     4     7     7    10     4     1     8     2     4     5              2
Vardas194         Pavarde194             2    10     7    10     2     3     9     9    10     4     7     5     8     8     7              5
Vardas195         Pavarde195             6    10     2     3     9     4    10     2     4    10     2     3     6     8    10              8
Vardas196         Pavarde196             2     7     3     5     1     1     5     5     9     9     7     4     5     3     8             10
Vardas197         Pavarde197             5     7     8    10     3     4     8     8     2     2    10     4     3     6    10             10
Vardas198         Pavarde198             5     9     6     8     3     1     4     3     4     3     2     7     9     5    10              5
Vardas199         Pavarde199             5     7     1     9     7     7     5     1     7     2     9     5     4     4     4             10
Vardas200         Pavarde200             8     7    10     8     1    10     1     4     4    10     5     1     7    10     6              9
Vardas201         Pavarde201             7     2     6     5     7     9     4     4     6    10     1     6     6     2     2              1
Vardas202         Pavarde202             5     5     3     4     7     8     8     2    10    10     7     6     3     7     1              9
Vardas203         Pavarde203             2     4     5     5     9     6     5     4     7     3     4     7     4     9     1              5
Vardas204         Pavarde204             3     7     9     4     7     3     5    10     7     1     2    10     4     4    10             10
Vardas205         Pavarde205             8     5     6     4     5    10     2     6     7     2    10     5     8     7     1              9
Vardas206         Pavarde206             5     8     7     1     8     2    10     2     3     6     8     4     8    10     2              4
Vardas207         Pavarde207             4     1     7     1     3     9     8     1     2     9     2     2     2     1     2              6
Vardas208         Pavarde208             3     7     3     4     5     2     2     5     7     5     3     1     6     9    10              8
Vardas209         Pavarde209            10     1     4     6     1     8     9    10     1     5     7     3     2     6     3              9
Vardas210         Pavarde210             4     2     9     6     7     7     7     3    10     3     5     8     7     1     2              4
Vardas211         Pavarde211             5     9     2     2     7     7     3     6     9     8     1     4     6     4     4              1
Vardas212         Pavarde212             9     4     4     8     4     6     7     1    10     7     1     6     3     4     8              2
Vardas213         Pavarde213             4     6     2     7     1     5     1     1    10     3     8    10     6     1     7              3
Vardas214         Pavarde214            10     7     7     7     5     3     9     8     6     1     8     9     1     4     8              3
Vardas215         Pavarde215             5     5     5     4     4     4     3    10     9     8     7     8     6    10     9              2
Vardas216         Pavarde216             7     1     8     2     3     6     2     5     6     9     8     3     6    10     5              8
Vardas217         Pavarde217             7     6     5     9     9     9     4     4     3     2     2     9     2     6     6              4
Vardas218         Pavarde218             7     4     1     6    10     7    10     5     9     5     7     7    10     7     8              4
Vardas219         Pavarde219             1     9     2     3     7     4    10    10     3    10     9     8     6     1     6             10
Vardas220         Pavarde220             5     4     2     6    10     8     9    10     6     7     7     5     9     1     9              2
Vardas221         Pavarde221             9     5     7     9     8     5     7     3     3     8     5     2     9    10     4              3
Vardas222         Pavarde222             4     5     4     2     8     7     2     1     1     3     5     8     8     1     2              4
Vardas223         Pavarde223            10     1     4     6    10     1    10    10     5     5    10     8     6     7     7              6
Vardas224         Pavarde224             3     2     2     3     1     6     7     7     4     3     2     1     7     7     9              2
Vardas225         Pavarde225             1     1     3     5     4     2     5     6     4     3     9    10     8     2     1              8
Vardas226         Pavarde226             2     5     5     6     4     7    10     9     4    10    10     5     6     7     7              5
Vardas227         Pavarde227             6     2     9     6     9     7     8     2     7     5     2     1     3     1     8              8
Vardas228         Pavarde228             7     5     2     4     7     8     7     4     5     4     7     9     3     5     5              3
Vardas229         Pavarde229             8     6     4     6     1     2     6     3    10     5     5     6     9     8    10              5
Vardas230         Pavarde230             1     9     3     6     2    10     3     9     9     3     5     9     3     7     6              5
Vardas231         Pavarde231             7     1     1     3     3    10     4     1     2     6     7     2     7     3     1              1
Vardas232         Pavarde232             7     5     2     3     7     5     1     1     2     1     3     6    10     3     9              6
Vardas233         Pavarde233             4     7     6    10     8     5     4     5    10     9     8     8     2     3     5              7
Vardas234         Pavarde234             3     7     7     2     4     9     9     3     7     8     9     2     5     8     1              5
Vardas235         Pavarde235             2     4     1     9    10     7     8     6    10     9     8     5     3     8     4              1
Vardas236         Pavarde236             8     3     4     1     7     4     5     4     7    10     7     4     5     2     5              3
Vardas237         Pavarde237             5    10     1     7     2     4     8     3     5     9     2    10     6     1     4              7
Vardas238         Pavarde238             7     3     2     5    10     2     9     4    10     1     4    10     9     2     4             10
Vardas239         Pavarde239             6     5    10     3     5     6     2     3     6     7     6     6     9     5     1              2
Vardas240         Pavarde240             2    10     4    10     7    10     4     6     4     1     7     1     9     7     5              5
Vardas241         Pavarde241             3     2     6     5     3     8     5     3     3     2     4     2     6     4     5              5
Vardas242         Pavarde242             3     2     3     1     8     7     3     1     9     9     8     4     9     9     4              4
Vardas243         Pavarde243             5     3    10     8     7    10     8    10     1     2     1     4     5     8     7              3
Vardas244         Pavarde244             3     6     1     2     6     5     4    10     9     3     1     1     9     6     3              7
Vardas245         Pavarde245             5     1     2    10     4     9     9    10     6     8     5     9     6     9     6              1
Vardas246         Pavarde246             4     4     4     6     2     3     7     6     2     9     6     7     7     3     8              5
Vardas247         Pavarde247             7     5     4     2     2     1    10     6     1     6     9    10     6     5     4              5
Vardas248         Pavarde248             4     1     1     2     9     9    10     2     6     7     1    10     7     7     6              5
Vardas249         Pavarde249             2     3     5     4     1     7     1     1     3     9     3    10     2     1     3              9
Vardas250         Pavarde250             1     5     9     4     3     3     5     9     5     7     4     1     2    10     4              2
Vardas251         Pavarde251             9     3     8     1     6     5     7     6     2     4     9     2     1    10    10              9
Vardas252         Pavarde252             6     7     3     9     8     3     9     5     3     9     7     2     7     9     8              7
Vardas253         Pavarde253            10     5     5     2     6     7     3     6     5     7     8     8     9    10     3              2
Vardas254         Pavarde254             9     1     7     7     1     9     7     3     8     9     8    10     7     2     4              4
Vardas255         Pavarde255             8     5     8     2     8     3     7    10     2     7     4     7     9     6     8              4
Vardas256         Pavarde256             5     4     3     8     9     1     3     9     2     2     7     4     2     1    10              1
Vardas257         Pavarde257             6     6     9     6     7     6     3     5     8     6     6     1     2     4     4              5
Vardas258         Pavarde258             5     8     9     5     7     6     7     9     9    10     4     9     4    10     3              1
Vardas259         Pavarde259             8     2     4     8     5     2     1     5    10     9     4     7     6     4     5              5
Vardas260         Pavarde260             4     6     1     8     4     2     2     4    10     8    10    10    10     7    10              2
Vardas261         Pavarde261             1     1     1     1     4     6    10     1     7     4     4     7     5     6     3              9
Vardas262         Pavarde262             6     6     3     9     2     2     6     9     2    10     6     5     5     4     2              1
Vardas263         Pavarde263            10     3     8     7     3     3     6     5     1    10     5    10    10     4     5              7
Vardas264         Pavarde264             3     7     1     4     7     9     7    10     4     3     4     7    10     9     4              7
Vardas265         Pavarde265             7     8     4     7     7     7     9    10     8     4     7     1     6     1     7              8
Vardas266         Pavarde266             5     4     2     4     4     3     2     1     8     3     2     6    10     4     7              7
Vardas267         Pavarde267             6     6     8     5    10    10    10     2     6     5     6     7     9     1    10              4
Vardas268         Pavarde268             8     6     3     5    10     6     7     3     6     1     7     7     9     4     8              4
Vardas269         Pavarde269             4     3     1     4     5     4     6     4     3     2     3     7    10     1     4              2
Vardas270         Pavarde270             8     8     2     4     9     8     1    10     7     7     5     2     9     3     8              4
Vardas271         Pavarde271            10     3     1     7     3     7     7     1     7     7    10     3     2     4     7              7
Vardas272         Pavarde272            10     6     5     7     7     5     6     3     2     4     6    10     1     8     6             10
Vardas273         Pavarde273             4     2     9    10     8     6     7     3     1     3     5     8    10     4    10             10
Vardas274         Pavarde274             3     1     9     7     3     4     4     6     2     4     5    10     8     8     4              4
Vardas275         Pavarde275             1     1     3     8     9     6     1     3     8     6     7    10     2     5     3              4
Vardas276         Pavarde276             4     5     4     9     1     9     8     7     1     8    10     8     8     2     8              2
Vardas277         Pavarde277            10     6     7     9     6     3     1     7     5     2     2     5     4     1     6             10
Vardas278         Pavarde278             3     6     6     4     3     9     6     9     3     8     3     6     4     1     4              7
Vardas279         Pavarde279             2     3    10     8     4     6     5    10    10     8     3     6     3     6     8              9
Vardas280         Pavarde280             1     8     6     5     7     4    10     7     4     6     9     7     7     1     7              4
Vardas281         Pavarde281             7    10     4     5     8     7     5     6     1     5    10     8     4     7     5              9
Vardas282         Pavarde282             2     3     2     3     4     9     5     3    10     8     8     9     3     3     2             10
Vardas283         Pavarde283             5     3     9     7     8     2     6     4     7     4     7     2    10     2     1              9
Vardas284         Pavarde284             7     9     2     7     5     2     7     9     7     2     9     3    10     4     1              6
Vardas285         Pavarde285             1    10     1     5     5     1     4     9     1     6     1     1     9     6     5              6
Vardas286         Pavarde286             1    10     7     7     8     4     2     6     7     6     4     8     1     6     4              4
Vardas287         Pavarde287            10     7     5     8     6     6     5    10    10     7     2     5     2     7     4              7
Vardas288         Pavarde288             2     8     7     8     4     3     3     4    10     8     9     1     9    10     3              4
Vardas289         Pavarde289             5     5    10     5     5     2     3     8     2     1     3     2    10     2     4              9
Vardas290         Pavarde290             1     8     9     1     8     6     2     2     2     5     7     7     5     6     1              9
Vardas291         Pavarde291             2     2     6    10     4     7     6     7     2     9     8     6     3     1     5              3
Vardas292         Pavarde292            10     6     9     7    10     5     8     9     2     3     8     7     4     8     1              5
Vardas293         Pavarde293             2     9     9     6     9     4     3     2     9     5     9     8     5     2     1              6
Vardas294         Pavarde294            10     1     3     7     5     7     4    10     1     4     4     8     2     7     8              3
Vardas295         Pavarde295            10     4     7     3     3    10     7     1     5     2     9    10     5    10     4             10
Vardas296         Pavarde296             6     2     6    10     3    10     1     2     2     6     2     3     3     3     1              6
Vardas297         Pavarde297             8     2     9     7     6     7     5    10     9     3     6     4    10     7     8              6
Vardas298         Pavarde298             2     1     6     5     7     2     5     3     9     5     7     8     8     7     9              5
Vardas299         Pavarde299             6     8     6     3     6     7     9     2     3     1     8     2     2    10     9              4
Vardas300         Pavarde300             1    10     6     8     2     7     3     6     6     5     2    10     4     5     1              3
Vardas301         Pavarde301             7     2     4     4     3     4     3     2     1     1     2     9     8     3     9              5
Vardas302         Pavarde302             4     6     8     4     8     1     2     1     2    10     7     4     9     2     4              6
Vardas303         Pavarde303             4     1     7     5     2     2     6     6     6     9     4     5     5     9     4              9
Vardas304         Pavarde304             7     8     4     1     4     4     6     5     4     9     4     7     8     2     3              5
Vardas305         Pavarde305             4     1     1     7     5     4     6    10     6     4    10     7     5     4     8              4
Vardas306         Pavarde306             9     2     7     5     7    10     7     8    10     2     7     4     2     5     2              4
Vardas307         Pavarde307             5     2    10     4    10     9     3     1     7     4     1     3     1    10     6              4
