Studento vardas   Pavarde              ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9  ND10  ND11  ND12  ND13  ND14  ND15   Egzamino rez
Vardas138         Pavarde138             6     3    10     1     5     9     6     8     4     4     1     4     1     4     3              2
Vardas139         Pavarde139             2     1     9     2     9     8     3     9    10     3     4     1     3     9     3              6
Vardas140         Pavarde140             6     9     2     3     5    10     9     9     3     8     2     8    10     6     1              4
Vardas141         Pavarde141             5     1     2     6     4     5     3     4     3    10     5    10     3     5    10              1
Vardas142         Pavarde142             5     5    10     9     6     4     3     4     1     2     8     2    10     9     9              4
Vardas143         Pavarde143             3    10     4     4     3     9     4     5     1     3     1     2     3     2     1              8
Vardas144         Pavarde144             7     7     9     1     6     9     9    10     6     8     4     3     3     3     1              1
Vardas145         Pavarde145             3     4     2     7     9     8     8     3     9     8    10     6    10     3    10              2
Vardas146         Pavarde146             4     1     9     2    10     3     1     3     5     8     6     9     2     1     1              8
Vardas147         Pavarde147             2     7    10     4     1     4     8     4     1     5     4     3     4     2     1              3
Vardas148         Pavarde148             8     8     2     4     1     8     1     4     7     4     2    10     6     7     2              6
Vardas149         Pavarde149             2     1    10     8     4     1     9     2     6     2     8     2     8    10     5             10
Vardas150         Pavarde150             9     1     1     2     9     6     1     9    10     3     9     1     9     6     2              5
Vardas151         Pavarde151             8     4     7     2     7     9     1     9     7     6     8     2     1     3     9              4
Vardas152         Pavarde152             6     6     7     2     5    10     4     9     4     3     4     4     8     4     1              2
Vardas153         Pavarde153             5     9     8     9    10     9    10     8    10     2    10     6     9    10     7             10
Vardas154         Pavarde154             4     4     2     5     2     5     6     8     7     4     5     7     4     9     4              5
Vardas155         Pavarde155             3     8     9    10     1     2     5     1     8     4     5    10     5     6     7              9
Vardas156         Pavarde156            10     9    10    10     8     1     9     5     6     7    10     4     7     3     1              1
Vardas157         Pavarde157             7     6     2     7     2    10     8     4     6     1     1     7     6     2     9              3
Vardas158         Pavarde158             8     3     5     6     3     3     6     9     7    10     9     4     6     6     1              6
Vardas159         Pavarde159             9     2     6     1     8     4     5     2     6     7     5     2     8     1     5              1
Vardas160         Pavarde160             7     2     1     6     6     3     6     9     4     3     8     9     6     3     8              3
Vardas161         Pavarde161            10     8     7     4     2     6    10     9    10     6     5    10     6     3     6              3
Vardas162         Pavarde162             3     4     1     9     8     3     9     4     8     6     5     2     9     3    10              7
Vardas163         Pavarde163             9    10     9     2     7     4     8     6     5     2     1     2     3     3     9              6
Vardas164         Pavarde164             5     7     8     8     4     5     5    10     2     9     4     9     8    10     8              2
Vardas165         Pavarde165             2     5     4     6     3    10     2     6     6     7     8    10     1     3     4              2
Vardas166         Pavarde166            10     9     8     9     5     5     5     4     6     9     1     3    10     5    10              9
Vardas167         Pavarde167             4     6     1     5     4     6     3     6     8     8     8     5     5     1     5              2
Vardas168         Pavarde168             2     6     5     1     3     9     7     9     2     5     8     7     5    10     9              8
Vardas169         Pavarde169             4     9     7     3     9     1    10     9     1     5    10     7     9     3     9              5
Vardas170         Pavarde170             8    10     5     1     8     5     9     2     9     3     3     2     5     7     7             10
Vardas171         Pavarde171             4     9     2     4     7     5     6     3     3     1     2     1     4     9     8              4
Vardas172         Pavarde172             4     2     5     6     7     2     3     2    10     2     9     1     5     8     8              5
Vardas173         Pavarde173             2     2    10     9     2     1     4     3     6     1     4     3     3     7     4              4
Vardas174         Pavarde174             7     2     6     9     3     2    10     4    10     8     3     2     4     3     1             10
Vardas175         Pavarde175             3     8     5     6     1     4     3    10     8     9     1     2     2     5     8              5
Vardas176         Pavarde176             4    10    10     7     8     7     3     1    10     7     3     4     1     4     6              2
Vardas177         Pavarde177            10     7     8    10     3     8     6     7     9     3     5     7     4     1    10              2
Vardas178         Pavarde178             9     8     7     9     5     1     4     8    10     7     3     3     8     4     1              8
Vardas179         Pavarde179             4     1     8     4     7     5     7     8     5     1     2     3     5     5     7              4
Vardas180         Pavarde180             5     6     1     3     1     2     7    10     4     8    10     2     6     3     5              5
Vardas181         Pavarde181             2     4     5     7     9     9     8     1     4     5     5     7     8     2     9              2
Vardas182         Pavarde182             3     2     3     4     2     2     2     1     9    10     2     1    10     8     8              5
Vardas183         Pavarde183             6     2     7     8     9     4    10     4     2     4    10     7     4     8     6              3
Vardas184         Pavarde184             1     8     2     8     1     7     8     2     8     6     5     9     2     8     6              3
Vardas185         Pavarde185             2     8     6     4     2     1     1     1     6     1     1     8     9     7     5             10
Vardas186         Pavarde186             2     5     9     1     9    10    10     8    10    10    10     7     1     7     4              9
Vardas187         Pavarde187             1     4     7    10     5     3     1     5     5     4     7    10     2     9    10              2
Vardas188         Pavarde188             2     9     7     4     6     1    10     2     1     9     3     3     7     9    10              8
Vardas189         Pavarde189             8     9    10     4     1     6     7     4    10     8     8     5     4     6     9              4
Vardas190         Pavarde190             4     4     7     2     1     5     8     5     3     8     2     6     8     3     3              8
Vardas191         Pavarde191             1     4     7     1    10     9    10     7     5     1     3    10     1     4     3              3
Vardas192         Pavarde192             5     8     8     5     6     4     2     4     4     5     4     6     3     2     7             10
Vardas193         Pavarde193             9     9     5     2     5     6     8     4     1     3     8     8     8     1     3              1
Vardas194         Pavarde194             1     9     7     5     6     1     2     6     8     4     3     8    10     2     2              5
Vardas195         Pavarde195             1     4     4     2     6     9     4     1     6     2     1     3     6     2     1              5
Vardas196         Pavarde196             1     7     5     9    10     6     7     3     3     3     2     8     5     8     9              7
Vardas197         Pavarde197             1     1     3     2     4    10     3     5     2     6     5     1     7     7     9              2
Vardas198         Pavarde198             4     4     2     1     6     9    10     4     9    10     9     5     4    10    10              7
Vardas199         Pavarde199            10     8     8     3     6     3     4     3     9     4     4     9     6     8     9              9
Vardas200         Pavarde200             2     4     6     2     3     1     9     7     6     6     4    10     6     4     6              5
Vardas201         Pavarde201             9     6     1     4     6     1     9     5     4     6     9     2     3     7     1              3
Vardas202         Pavarde202             3     2     7     6     1     2     8     8     4     9     4     6     2     4     3              2
Vardas203         Pavarde203            10     5     3     4     1     2     5     9     7     7     2     4     9     8    10              5
Vardas204         Pavarde204             5     4     6     5     5     3     8     8     6     7     7    10     1     8     1             10
Vardas205         Pavarde205             9     7     8     4     3     1     2     6     4     6     7     6     5     7     9              2
Vardas206         Pavarde206             6     9     6     4     4     3     9     8     7    10     7     5     7     4     3              2
Vardas207         Pavarde207             1     6     9     8     1     1     4     8     4     5     7     3     1     2     2              7
Vardas208         Pavarde208             6     4     5    10     6     4     5     4     8     8     1    10     2     6     5              1
Vardas209         Pavarde209             1     8     2     3     4     8     8     4     4     4    10     2     6     9     9              9
Vardas210         Pavarde210             1     3     5     5     4     4     7     8     7     7     2     5     9     2     7              6
Vardas211         Pavarde211            10     7     9     8     2    10     2     7     8     7     4     8     2     3     8             10
Vardas212         Pavarde212             5     8     2     9     3     5     9     9     2     7     3     1     5     9     6             10
Vardas213         Pavarde213             5     5     5    10    10     5     6     4     3     2     8     5     4     2    10              1
Vardas214         Pavarde214             8     4     9     5     3     7    10     9     8     8     5     9     8     9     4              3
Vardas215         Pavarde215             2    10     4     8     5     5     5     4     6     2     4     3     9     1    10              1
Vardas216         Pavarde216             4     5    10     5     5     4    10     9     6     4     9     2     3     4     9             10
Vardas217         Pavarde217             9     6     2     1     7     2     9     2     9     8     8     3     9     3     4              7
Vardas218         Pavarde218             7    10     7     6     2     4     9     1     8     7     2     7     1     4     2              1
Vardas219         Pavarde219             5     4     2     6     9    10     6     5     6     8     5     5     7     8     8              6
Vardas220         Pavarde220             3     7     9     9    10     2    10     9     1     6     1     3    10     7     1              3
Vardas221         Pavarde221             3    10     3     7     8     4     7     1     6     3     2     8     2     2     6              4
Vardas222         Pavarde222             3     7     7     9     2     6     9     7    10     5     7     7     3     9     9              2
Vardas223         Pavarde223             7     9     8     9    10     8    10     1     6     9     3     7    10     8     2              8
Vardas224         Pavarde224             6     2     7     5     5    10    10     7     2     6     6     7     1     8     6              1
Vardas225         Pavarde225             8    10     6     7     9     6     4     8     1     8     6     3     4     1     5             10
Vardas226         Pavarde226             9     6     9     1     1    10     8     8     5     5     8     6    10     3     4              3
Vardas227         Pavarde227             3     4     2    10     8     4     1     5     4     8     9     1     9     9     2              3
Vardas228         Pavarde228             8     5    10     2    10     4     7     3     1     8     3     1     1     6     4              6
Vardas229         Pavarde229             8     8     5     5     4     4     9     7     5     5     6    10     3     5     5              3
Vardas230         Pavarde230             5     3     6     4     3     4     5     1     3     4     8     3     1     8     8              7
Vardas231         Pavarde231             2     8     6     7     8    10     1     9     6     8     5     3     6     7     6              9
Vardas232         Pavarde232             9     3     9     6     3     8     7     8     4     4     6     7    10     5     5              6
Vardas233         Pavarde233            10     7    10     3    10     6     7     2     8     9     4     8     3     7    10              2
Vardas234         Pavarde234             1     1     5     6     7     4     7     5     7     8     7     4    10     2     5              8
Vardas235         Pavarde235             6     1     1     6     6     9     9     7    10     9     2     6     7     1     7              1
Vardas236         Pavarde236             5     8     9     7     5     1     4     5     2     1     1     5     4     7     2              1
Vardas237         Pavarde237             6     7     9     7     8     7     8     9    10     5     6     2     1     3     9              7
Vardas238         Pavarde238             8     1     8     8     5     7     3     3    10     7     6     7     5     1     7             10
Vardas239         Pavarde239             7     3    10     2     3     7     5     8     1     9     3     5     2     1     1              4
Vardas240         Pavarde240             7     2     8    10     9     1     3    10     9    10     8     5     8     8     6              4
Vardas241         Pavarde241            10     2     3    10     7     2     2     5    10     9     7    10     8     5     9              3
Vardas242         Pavarde242             6     9     3     6     7     2    10     4     8     2     4     3     1     7     9             10
Vardas243         Pavarde243            10     4    10     2     2     4     5     9     3     5    10     2     5     4    10              5
Vardas244         Pavarde244            10     6     3     2     7     8     3     6     2     9     1     8     6     8     5              3
Vardas245         Pavarde245            10     2     9     5     5     9     2     3     9     5     7     8     4     2     6              9
Vardas246         Pavarde246             6     5     3     7     7     5     7     2     5     1     5     7     7     8     6              9
Vardas247         Pavarde247             2     2     6     2     2    10     1     8     7     4     5     5     6     8     3              7
Vardas248         Pavarde248             6     7     3    10     7     6     4     3     2     7     4     5    10     1     6              7
Vardas249         Pavarde249             6     1     7     6     4     4     3     7     7     1     7     3     1     1     6              3
Vardas250         Pavarde250             1     6     7     2     1     5    10     5     1     3     7     7     5     1     8              3
Vardas251         Pavarde251             7     7     9     6     2     1     1     3     2     4     9     5     4     6     1              9
Vardas252         Pavarde252             8     1     6     4     6     7     4     1     3    10    10     4     8    10     4             10
Vardas253         Pavarde253             4     1     3     6     2     2     9     4     4     8     5     7     8     2    10              5
Vardas254         Pavarde254             7     2     3     9     3     6     8     8     9     5     3     1     7     6     1              6
Vardas255         Pavarde255             7     1     8     3     5     5     5     1     6     1     7     7     3     7     4              2
Vardas256         Pavarde256             8     6     6     6     5     9    10    10     9     2     3     8     8    10     3              2
Vardas257         Pavarde257             9     3    10     8    10    10     1     1     7     5     3     6     4     6     2             10
Vardas258         Pavarde258             8     9     5    10     2    10     9     8    10     7    10     6     7     5     8              5
Vardas259         Pavarde259             5     9     7     6     2     5    10     9     9     8     4     5     6     8     8              6
Vardas260         Pavarde260             2     4     4     8    10     7     6     4     5     1     3     5    10     9     1              5
Vardas261         Pavarde261             3     7     2     6     7     2     1     6     1     5     9     8     1     9     2              8
Vardas262         Pavarde262             3     9     1     2     2    10     2     1     4     3     4     3     3     9     2              9
Vardas263         Pavarde263             8     6     7     3     7     5     8     5     4     8     1     6     5     4     8              4
Vardas264         Pavarde264             9     1     6     7     9     3     7     9     2     3     7     7     3     5     4              1
Vardas265         Pavarde265             3     1     6     2     1     6     9     1     2     4     9     3     9     5     6              8
Vardas266         Pavarde266             3     4     9    10     2     7     3     3     2     4     9     6     7     7     9             10
Vardas267         Pavarde267             4     6     8     7    10     6     8     8     1     1     3     6    10     4     1              4
Vardas268         Pavarde268             8     7     2     6     3     6    10     6     4     6     6     4     7     7     9              6
Vardas269         Pavarde269             3     2     1     3     7     9    10     7     3     6     9     9     7     7     2              7
Vardas270         Pavarde270             8     2     3     6     3     5    10     3     8     1     1     5    10     1     9              2
Vardas271         Pavarde271             1     1     2     8     4     6     7    10     6     1     7     7     3     4     7              8
Vardas272         Pavarde272             6     3     6     7     7     7     8     9     7     5     6     6     9     1     1              5
Vardas273         Pavarde273             5     3     3     9     7     6     1    10    10    10     4     9     8     2     6              2
Vardas274         Pavarde274            10    10     9     6     3     4     2     1     8     4     9     9     6    10     7             10
Vardas275         Pavarde275             4     2     2    10     2     3     5     7     9     1     9    10     6     1     5              7
Vardas276         Pavarde276             9     7     8     4     4     2     8     4     2     4     5     3     8     8     4              4
Vardas277         Pavarde277             7     6     6     4     7     1    10     6     7     4     4     3    10    10     7              4
Vardas278         Pavarde278             6     6     2     5     8     2     8    10    10     7     6     3     3     4     8              1
Vardas279         Pavarde279            10     8     7    10     6     7    10    10     4     6     9     2     9    10     7              2
Vardas280         Pavarde280             9     5     6     4     5     7     5     2     6     3     2     8     6     5     9              4
Vardas281         Pavarde281             9     6     3     4     2     4     3     1     1     1     9     6     3     9     9              8
Vardas282         Pavarde282             2     1     9     7     4     3     3     3     8     1     9     5     8     5     4              5
Vardas283         Pavarde283             5     5     7     1     6     6     4     8     3     2    10     1     9     9     9              1
Vardas284         Pavarde284            10     2     7     8     9     7     6    10     9     1     6     5     7     8     7              5
Vardas285         Pavarde285             1     2     9     9     5    10     5     7     5     1    10     3    10     2     3              5
Vardas286         Pavarde286             4    10    10     8     8     7     7     8    10     4    10     5     6     5     7             10
Vardas287         Pavarde287             9     7     9     3     7     8     6     9     7     9     3     5     4     6     7              7
Vardas288         Pavarde288             3     7     5    10     3     5     3    10     7     7     3     3     6     7     6              3
Vardas289         Pavarde289            10     6     8     5     5     4     5    10     3     2     4     4     8     4     4              1
Vardas290         Pavarde290             6     5     6     2     3     9     6     7     1     2     9    10     3     8     4              9
Vardas291         Pavarde291             5     3     7     8     7     4     1     3    10     4    10    10     3     3     3             10
Vardas292         Pavarde292             5    10     5     9     5     7     4     5     3     9     4     4     8     9     4              8
Vardas293         Pavarde293             6    10     2     5    10     2     8     7     3     6     3     3     9     7     2              6
Vardas294         Pavarde294             6    10     7     3     7     9    10     1     7     5     1     7     7     4     6              5
Vardas295         Pavarde295             2     9     9     5     5     8     4     3     5     4     3     6     2     3     5             10
Vardas296         Pavarde296             6     1     7     9     6     5     2    10     2    10     3     4     3     3     3             10
Vardas297         Pavarde297             2     8     6     1    10    10     9    10     9     1     2     9     1     7     9              5
Vardas298         Pavarde298             6     6     1     9     7     1     6     5     7     3    10     4     3     6     7              4
Vardas299         Pavarde299             6     8     3     9     6     5     9    10     3     9     7     9     9     9     6             10
Vardas300         Pavarde300            10     5     3    10    10     9     8     9     4     2     4     1     7     7     4              5
Vardas301         Pavarde301             1     9     4     8     7     7     1     6     3     1     8     4     7     9     8             10
Vardas302         Pavarde302             5     9     1     9     6     8     3     5     3    10     3     1     2     6     1              2
Vardas303         Pavarde303             5     1     1     6     8     5     8     8     6     3     9     4     6    10     8              9
Vardas304         Pavarde304            10     7     1    10     1     2    10     2     7     1     2     5     4     5     8             10
Vardas305         Pavarde305             7    10     1     8     6     6     5    10     5     3     1    10     8     4     4              8
Vardas306         Pavarde306             8     1     6     4     2     3     7     5     3     5     7     1     4     6     3              8
Vardas307         Pavarde307             2     2     5    10     7     6    10     9     8     9     5     1     3    10     1              6
